year,category,signed,filename,path,relative_path,size_bytes,modified,sha256,pages,text_chars,page_text_chars,extract_error
2018,respuesta_inspeccion_recepcion,False,EIM-GF-0021-2018-IT---RECEPCIÓN INST. AA DRSHA.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2018\04 DOCUMENTOS PDF 2018\INFORMES PDF 2018\EIM-GF-0021-2018-IT---RECEPCIÓN INST. AA DRSHA.pdf,2018\04 DOCUMENTOS PDF 2018\INFORMES PDF 2018\EIM-GF-0021-2018-IT---RECEPCIÓN INST. AA DRSHA.pdf,328793,1530044078.0,4dd9f31abb4a9fb38e478cbc68eee5ea755efd1037586ddc84a112c552049e5c,2,2731,"[779, 1942]",
2018,aclaracion_modificacion,False,EIM-GF-0021-2018-N---Aclaración AA Central -2.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2018\04 DOCUMENTOS PDF 2018\NOTAS PDF 2018\EIM-GF-0021-2018-N---Aclaración AA Central -2.pdf,2018\04 DOCUMENTOS PDF 2018\NOTAS PDF 2018\EIM-GF-0021-2018-N---Aclaración AA Central -2.pdf,432264,1535722578.0,227397fb0f085a70b66d5a839f4a3bdd525b0f159d3eca56c6b369b05c0646e3,1,1268,[1264],
2018,especificacion_compra_instalacion,False,EIM-GF-0023-2018-IT---Esp. Téc. AA Chorotega.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2018\04 DOCUMENTOS PDF 2018\INFORMES PDF 2018\EIM-GF-0023-2018-IT---Esp. Téc. AA Chorotega.pdf,2018\04 DOCUMENTOS PDF 2018\INFORMES PDF 2018\EIM-GF-0023-2018-IT---Esp. Téc. AA Chorotega.pdf,1451179,1530651765.0,67095de3f8d1a3c17c06b0506f327b9250ab99211a483d60df6f1115e6ab3891,23,52917,"[803, 2846, 2245, 1790, 2883, 3675, 3309, 3070, 3013, 3047, 2893, 3558, 3389, 3811, 3569, 3599, 3438, 929, 190, 190, 190, 190, 190]",
2018,respuesta_inspeccion_recepcion,False,EIM-GF-0031-2018-IT---RECEPCIÓN INST. AA Guácimo y Río Frio.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2018\04 DOCUMENTOS PDF 2018\INFORMES PDF 2018\EIM-GF-0031-2018-IT---RECEPCIÓN INST. AA Guácimo y Río Frio.pdf,2018\04 DOCUMENTOS PDF 2018\INFORMES PDF 2018\EIM-GF-0031-2018-IT---RECEPCIÓN INST. AA Guácimo y Río Frio.pdf,421172,1542395526.0,fe9475ef819447c5e056b21bb11718224a16668b7ce1cb16a2d14fb5ebf1860d,5,7440,"[783, 2377, 666, 3447, 136]",
2018,respuesta_inspeccion_recepcion,False,EIM-GF-0033-2018-IT---RECEPCIÓN INST. AA Heredia.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2018\04 DOCUMENTOS PDF 2018\INFORMES PDF 2018\EIM-GF-0033-2018-IT---RECEPCIÓN INST. AA Heredia.pdf,2018\04 DOCUMENTOS PDF 2018\INFORMES PDF 2018\EIM-GF-0033-2018-IT---RECEPCIÓN INST. AA Heredia.pdf,327983,1543268756.0,868b5b83b88a7f234a3c7cd362536caf0018be5050d22efd91ee85b0f2f898c5,2,2354,"[757, 1587]",
2017,especificacion_compra_instalacion,False,EIM-GF-0001-2017-IT---Esp. Téc. AA Turrialba.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2017\04 DOCUMENTOS PDF 2017\INFORMES PDF 2017\EIM-GF-0001-2017-IT---Esp. Téc. AA Turrialba.pdf,2017\04 DOCUMENTOS PDF 2017\INFORMES PDF 2017\EIM-GF-0001-2017-IT---Esp. Téc. AA Turrialba.pdf,2158063,1484943343.0,337971e95bb2235a66fe72756374b7b4641c634feeab442d162020d7d98f370b,26,1100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 226, 347, 251]",
2017,especificacion_compra_instalacion,False,EIM-GF-0002-2017-N---Aclaraciones Esp. Tec. AA Turrialba.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2017\04 DOCUMENTOS PDF 2017\NOTAS PDF 2017\EIM-GF-0002-2017-N---Aclaraciones Esp. Tec. AA Turrialba.pdf,2017\04 DOCUMENTOS PDF 2017\NOTAS PDF 2017\EIM-GF-0002-2017-N---Aclaraciones Esp. Tec. AA Turrialba.pdf,557197,1488488967.0,23f9df62341aa60c76b6db8515a7438235de7bac4b0d5f043549050517362b77,1,0,[0],
2017,especificacion_compra_instalacion,False,EIM-GF-0019-2017-IT---Esp. Téc. AA Zona Atlántica.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2017\04 DOCUMENTOS PDF 2017\INFORMES PDF 2017\EIM-GF-0019-2017-IT---Esp. Téc. AA Zona Atlántica.pdf,2017\04 DOCUMENTOS PDF 2017\INFORMES PDF 2017\EIM-GF-0019-2017-IT---Esp. Téc. AA Zona Atlántica.pdf,12566275,1498574302.0,e6442e106937fbbb63d0359098b9e2080e55dd145684c4aa44e82a570d178ada,18,34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2017,especificacion_compra_instalacion,False,EIM-GF-0022-2017-N---Modificaciones Esp. Tec. AA Región Atlántica.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2017\04 DOCUMENTOS PDF 2017\NOTAS PDF 2017\EIM-GF-0022-2017-N---Modificaciones Esp. Tec. AA Región Atlántica.pdf,2017\04 DOCUMENTOS PDF 2017\NOTAS PDF 2017\EIM-GF-0022-2017-N---Modificaciones Esp. Tec. AA Región Atlántica.pdf,878204,1501257052.0,62f55235f6ce0747bba22cd3ee144ffa1d78b33138090460a85b55bb9d018f7b,2,2,"[0, 0]",
2017,especificacion_compra_instalacion,False,EIM-GF-0023-2017-IT---Esp. Téc. AA Turrialba - V2.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2017\04 DOCUMENTOS PDF 2017\INFORMES PDF 2017\EIM-GF-0023-2017-IT---Esp. Téc. AA Turrialba - V2.pdf,2017\04 DOCUMENTOS PDF 2017\INFORMES PDF 2017\EIM-GF-0023-2017-IT---Esp. Téc. AA Turrialba - V2.pdf,16012093,1501788055.0,954bcc95d3f6cb7ccebdf4bd59ac78389666cfb679193a8b5806c920f01000b2,22,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2017,especificacion_compra_instalacion,False,EIM-GF-0041-2017-IT---Esp. Téc. AA DRSHA.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2017\04 DOCUMENTOS PDF 2017\INFORMES PDF 2017\EIM-GF-0041-2017-IT---Esp. Téc. AA DRSHA.pdf,2017\04 DOCUMENTOS PDF 2017\INFORMES PDF 2017\EIM-GF-0041-2017-IT---Esp. Téc. AA DRSHA.pdf,970050,1510340804.0,92d4b631d3e2ac964d5073c07b986b0d6dd23ed470681276390ec6fc9eb23139,18,44348,"[813, 1870, 2552, 3471, 3325, 2776, 3287, 2625, 3544, 3301, 3689, 3574, 3716, 3282, 1940, 167, 167, 167]",
2016,especificacion_compra_instalacion,False,EIM-GF-0007-2016-IT---Esp. Téc. AA Ciudad Colón.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0007-2016-IT---Esp. Téc. AA Ciudad Colón.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0007-2016-IT---Esp. Téc. AA Ciudad Colón.pdf,6944958,1456519603.0,39163751659e6e033f30a6ea4ea87eb026c905e945be944e4ad8ddd30fe49950,21,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2016,especificacion_compra_instalacion,False,EIM-GF-0007-2016-N---Aclaraciones Esp. Tec. AA C.COLÓN.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0007-2016-N---Aclaraciones Esp. Tec. AA C.COLÓN.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0007-2016-N---Aclaraciones Esp. Tec. AA C.COLÓN.pdf,334250,1467205892.0,eb9b12e73cdd6f0cdc6b8440d6552894a835ebd5aac26047ad56c7ff3f2ae081,1,0,[0],
